,UserID,basket_icon_click,basket_add_list,basket_add_detail,sort_by,image_picker,account_page_click,promo_banner_click,detail_wishlist_add,list_size_dropdown,closed_minibasket_click,checked_delivery_detail,checked_returns_detail,sign_in,saw_checkout,saw_sizecharts,saw_delivery,saw_account_upgrade,saw_homepage,device_mobile,device_computer,device_tablet,returning_user,loc_uk,ordered
153702,5023-ad333695-5023-487b-840a-374442,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
283936,7dad-5c861b77-7dad-4167-b670-105819,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
145802,0386-a8b3a186-0386-43a1-aa2a-500361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
182457,5bc2-93577273-5bc2-475a-aab2-906379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
328864,797c-4c08c647-797c-409c-8b0a-982197,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
398791,4b2d-16467b37-4b2d-4991-a8db-10383,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
281739,2637-5b535576-2637-40b8-b773-279843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
20473,6046-7760d51b-6046-4830-871b-529553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
291938,d7c9-611335bd-d7c9-414d-b514-22977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
333089,5cd2-407c673c-5cd2-4d99-8169-856136,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
225221,6338-811e0868-6338-4a52-9d6d-273898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
37920,2771-7a24b630-2771-4826-a103-811909,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
219003,4a09-7d73d49d-4a09-4768-b631-899712,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
54070,747a-75357bd8-747a-b10d-9151-695838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
353741,7cab-3709av1b-7cab-4167-a51b-852308,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
157843,3706-a1727346-3706-4cd1-bd5a-986618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
402808,752d-21983148-752d-4a98-a10b-691972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
95383,710b-c4933723-710b-4986-974b-291488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
409528,7d06-17377610-7d06-4643-80d3-90916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
99924,2692-c71b6a1a-2692-482a-b693-174425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
279800,av56-6824bb14-av56-4398-8617-966110,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
401002,004a-2089d917-004a-49aa-898d-908541,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0
353780,2ccc-3710a03b-2ccc-4764-859b-692278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
109277,6751-b74ba954-6751-4894-b850-745033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
447642,b461-02970cd3-b461-4568-89d6-884307,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
215362,748c-89d6d1c7-748c-4611-8138-449097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
113866,a89d-c07223a4-a89d-4027-b09c-596452,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
248415,7cb6-727c4957-7cb6-407a-8cc6-451269,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
206512,6241-84db175b-6241-4016-bd76-323038,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
358407,64ab-329ac1e8-64ab-4d1d-83b6-875169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
399170,8a45-1686da69-8a45-b137-8616-449856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
44138,0461-7da6738c-0461-467a-a3dc-665398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
311296,3d8d-502037ca-3d8d-b156-b376-128619,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
316451,885b-5304835c-885b-496d-8684-646319,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
227274,308d-8286728b-308d-483b-9977-791427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
86843,52c6-cdbc7374-52c6-4676-bc85-151677,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
275100,212a-658b1dd4-212a-47av-8a8a-432673,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
201068,4b8c-86da057b-4b8c-4b2c-9b02-70113,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
408500,9ddb-16a28824-9ddb-46b5-9573-819027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
66942,7973-d7804b75-7973-4b73-aa0d-539987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
37133,5811-79bb1787-5811-4210-91c7-21010,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
212111,7475-8763b957-7475-4707-a6a2-514724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
46780,1271-712dcd34-1271-4227-ac86-801706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
288656,a411-563871d0-a411-48c7-b07c-226366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
97208,4c90-c5997360-4c90-4c52-821e-537293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
153602,c640-ad22ca02-c640-4331-9843-149087,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
156529,059a-a7c124ac-059a-4793-a765-494860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
345426,334a-391e06a2-334a-49ac-9a02-277686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
151050,7d77-abb71d13-7d77-b18c-bav3-84296,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
180547,3dd6-a041cbb3-3dd6-407b-a418-788870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
182057,4828-931c0078-4828-4c5a-b477-432976,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
284836,d5b1-5d09913a-d5b1-475a-a7dd-479426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
399322,7714-169c6a63-7714-4628-b327-863848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
104336,7b92-c99513a1-7b92-4b14-bc28-335004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
249479,5612-73117367-5612-4701-8278-661095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
108437,3c3d-bdd3497d-3c3d-41e1-9715-964968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
257716,2a8d-69bc3a1b-2a8d-4635-9d37-210583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
171225,616b-9b0510d1-616b-43a1-8d91-181609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
75138,b287-d520827a-b287-41e2-8006-389611,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
192632,3c88-99192b8d-3c88-4a4c-a68c-204090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
29956,cb10-63b37383-cb10-4670-95b3-665336,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
426118,0c77-12887c1e-0c77-b103-8685-938354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
390400,5699-28ab794c-5699-4256-a7c6-94561,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
33643,a278-77c55aa6-a278-4b93-9740-593906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
185386,9752-94671ed6-9752-4794-9764-629399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
145999,0b93-a8d18111-0b93-4cb6-bc1e-26596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
249929,bb7d-7354c001-bb7d-4c3b-a3c7-280269,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
127502,5c43-ba881e38-5c43-4961-a7d9-250860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
36176,c872-79268363-c872-47b3-8b90-130512,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0
274550,4523-6537dd9a-4523-472d-8av7-767323,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
389862,avca-2857611c-avca-4b1e-8616-536716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1662,4787-av72bb5b-4787-43av-aa42-667818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
95250,a896-c481dc77-a896-465b-b680-147510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
112625,bd41-c0352347-bd41-4777-8957-553516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
398023,2473-17d797b7-2473-4c47-9781-774083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
236346,acac-79b359a8-acac-4075-8852-303957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
46426,4daa-706b21e2-4daa-4957-a5ac-967080,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
172686,9b11-9bd8724c-9b11-4b53-a551-66539,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
257900,62d7-69davac5-62d7-4065-adc8-466131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
368561,3524-2a5367ac-3524-46a9-9a8c-123536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
446481,6d26-0168dc75-6d26-4dc5-99b7-801683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
454317,6b2c-06481bc7-6b2c-4cab-91e3-838673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3286,6d68-6dd23da5-6d68-49a3-ad0d-354848,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
93561,ab81-d1774c57-ab81-439b-8978-110011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
214522,4d41-89567675-4d41-4b30-9a0c-507575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
153194,b01e-ac7b9086-b01e-4cdc-b717-271725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
181675,8955-9275698c-8955-4535-ada2-222442,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
176168,a0b1-9dcba8d3-a0b1-4860-848c-529225,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
111997,b63c-b6d832dd-b63c-4bbc-84d7-759982,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0
88440,9377-c791e7ad-9377-47ad-b4dc-40323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
45863,5628-70ac7147-5628-4149-a146-253557,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0
295310,b038-55110dd9-b038-4968-a76b-23065,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
368183,69a5-38284172-69a5-b18c-b997-883133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
425562,7769-12351307-7769-4726-b820-918970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
169691,a00c-9a1d8b06-a00c-46a2-8d1b-107369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
75374,ad6b-d54367c8-ad6b-411e-bdc6-124863,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
149468,3a78-aacb65d7-3a78-42aa-8569-946327,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
95637,d1e7-c4bbbcc0-d1e7-4c69-a7c9-637022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
30837,0c47-64355b41-0c47-4682-920a-560215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
408865,36b7-16d8b21e-36b7-457a-976b-99778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
317714,d7ab-53b7a349-d7ab-4d7b-b748-627486,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0
433235,7972-08678a73-7972-436d-981e-539172,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
275856,0929-65638573-0929-47a9-bc10-213117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
406073,84a6-15487d08-84a6-46ab-b28d-366759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
76466,a706-d5764839-a706-425c-98c2-471427,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
233908,8c76-7853bb60-8c76-427b-bb1a-622287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
269330,577b-6251641b-577b-4678-8a9a-553583,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
261585,cd78-6b719d4c-cd78-4d7b-a364-16175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
163436,81e3-a4a20c63-81e3-4b79-825b-406729,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
81728,a327-d8d1ec90-a327-46a5-8861-395563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
280280,9198-686956d3-9198-471a-9d35-791250,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
98754,1e45-c673567b-1e45-4761-9910-875587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
242978,4a60-7d58055c-4a60-4128-a676-599602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
263278,ccaa-avc6b06a-ccaa-4930-86d8-483383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
206868,a47b-850db756-a47b-4374-9697-734851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
295870,7a94-55635436-7a94-b174-8633-620291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
211966,5b74-87d72586-5b74-4dcd-97b6-521140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
102298,776b-c87163bd-776b-4186-8d39-614272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
174107,b79d-9ca4b0ca-b79d-4331-9794-520297,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
298199,0477-56a7d748-0477-4269-9578-182766,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
171043,d62c-9a7b7c77-d62c-43bb-aac0-929102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
111087,7113-b641e1a9-7113-b19a-9205-611570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
177361,d722-977a9927-d722-4036-9914-485794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24260,8247-608cbcav-8247-4a3d-8333-338796,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
215985,d753-8a274528-d753-4dca-a849-495648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
206148,c2d2-92b26a5d-c2d2-4b86-808c-558734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
86188,0362-cd5d576d-0362-46b5-b672-866911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
341694,6283-4541a003-6283-b19b-8572-664579,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
351255,c21e-3ca8b1bb-c21e-4a09-bb50-143580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
12941,c235-681c7b39-c235-4d7a-93a6-293131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
101399,a554-c76121c2-a554-4cdc-9bc4-44830,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
379928,8253-30c97d0a-8253-468a-9800-328567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
432435,1765-0800a1e7-1765-b119-b84b-527900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
250209,6925-737b8a68-6925-469c-b919-853829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
340704,dc78-b1a7d2c2-dc78-4398-8700-317486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
68500,9188-d1e10075-9188-40c7-b6b4-427805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
380203,97a0-3063b859-97a0-46d7-81aa-865543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
275699,5551-65dav188-5551-41e9-9893-329840,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
187725,6b13-964659d3-6b13-4573-95a8-713662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
53132,747a-74b4d7ca-747a-4334-8565-123665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
361260,c701-3439d678-c701-4773-bb46-852895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
403735,av9c-22167cb2-av9c-4719-b270-667529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
